transaction_text,category
Electricity bill payment,utilities
DTH recharge,utilities
Uber ride,travel
Bonds investment,investment
Food court payment,food
Zomato dinner,food
Library fee,education
Shoes shopping,shopping
Dental clinic,healthcare
Shoes shopping,shopping
Bowling alley,entertainment
Books purchase,education
Health insurance premium,healthcare
Gold purchase,investment
Electricity bill payment,utilities
Supermarket grocery,shopping
Water bill,utilities
Amazon purchase,shopping
Uber ride,travel
College fees payment,education
Fixed deposit investment,investment
Crypto investment,investment
Mall purchase,shopping
Hotel booking,travel
DTH recharge,utilities
PPF contribution,investment
Metro card recharge,travel
Bonds investment,investment
Car loan EMI,emi
PPF contribution,investment
Car loan EMI,emi
Zomato dinner,food
Hotel booking,travel
Appliance loan EMI,emi
Concert ticket,entertainment
Exam fee,education
PPF contribution,investment
Appliance loan EMI,emi
Toll tax payment,travel
Mall purchase,shopping
Hospital bill,healthcare
Shoes shopping,shopping
Bus ticket,travel
Metro card recharge,travel
Car loan EMI,emi
Flipkart order,shopping
Ola cab,travel
Bus ticket,travel
Broadband bill,utilities
Netflix subscription,entertainment
Home loan EMI,emi
Water bill,utilities
Appliance loan EMI,emi
Internet recharge,utilities
Bowling alley,entertainment
Pharmacy medicine purchase,healthcare
Car loan EMI,emi
Cafe coffee,food
Mobile recharge,utilities
Game purchase,entertainment
Fixed deposit investment,investment
Home loan EMI,emi
Swiggy order,food
Home loan EMI,emi
Mutual fund SIP,investment
Zomato dinner,food
Food court payment,food
Clothing store bill,shopping
Library fee,education
College fees payment,education
College fees payment,education
Shoes shopping,shopping
School tuition fee,education
Myntra shopping,shopping
Health insurance premium,healthcare
Mutual fund SIP,investment
Ola cab,travel
Stock purchase,investment
Personal loan installment,emi
Bakery purchase,food
Concert ticket,entertainment
Bowling alley,entertainment
Electricity bill payment,utilities
Hospital bill,healthcare
Mutual fund SIP,investment
Doctor consultation,healthcare
Stock purchase,investment
Clothing store bill,shopping
Flight ticket booking,travel
Gold purchase,investment
Myntra shopping,shopping
Flipkart order,shopping
Mutual fund SIP,investment
Bakery purchase,food
Electronics shopping,shopping
Stationery items,education
Uber ride,travel
Zomato dinner,food
Flipkart order,shopping
Bike loan EMI,emi
Cafe coffee,food
Netflix subscription,entertainment
Spotify premium,entertainment
Zomato dinner,food
Amusement park entry,entertainment
Theatre tickets,entertainment
College fees payment,education
Medical test charges,healthcare
Netflix subscription,entertainment
Spotify premium,entertainment
Bike loan EMI,emi
Game purchase,entertainment
Ola cab,travel
School tuition fee,education
Shoes shopping,shopping
Swiggy order,food
Myntra shopping,shopping
Broadband bill,utilities
Food court payment,food
Personal loan installment,emi
Shoes shopping,shopping
Clothing store bill,shopping
Health insurance premium,healthcare
DTH recharge,utilities
Supermarket grocery,shopping
Zomato dinner,food
Fixed deposit investment,investment
Bike loan EMI,emi
Health insurance premium,healthcare
Concert ticket,entertainment
PPF contribution,investment
Library fee,education
College fees payment,education
Amazon purchase,shopping
Stationery items,education
Pizza delivery,food
Bakery purchase,food
College fees payment,education
Swiggy order,food
Water bill,utilities
Zomato dinner,food
Stock purchase,investment
Fixed deposit investment,investment
Shoes shopping,shopping
Stock purchase,investment
Electricity bill payment,utilities
Stock purchase,investment
Stock purchase,investment
Bonds investment,investment
Movie ticket booking,entertainment
Myntra shopping,shopping
Car loan EMI,emi
Mobile recharge,utilities
Dental clinic,healthcare
Bike loan EMI,emi
Hospital bill,healthcare
Shoes shopping,shopping
Exam fee,education
Library fee,education
Cafe coffee,food
Zomato dinner,food
Bowling alley,entertainment
Clothing store bill,shopping
Mall purchase,shopping
Swiggy order,food
Bowling alley,entertainment
Zomato dinner,food
Books purchase,education
Lunch at hotel,food
Ola cab,travel
Netflix subscription,entertainment
Internet recharge,utilities
Flipkart order,shopping
Broadband bill,utilities
Bike loan EMI,emi
Mall purchase,shopping
Spotify premium,entertainment
Netflix subscription,entertainment
Amazon purchase,shopping
Flight ticket booking,travel
Zomato dinner,food
Online course subscription,education
Stock purchase,investment
Online course subscription,education
Broadband bill,utilities
Stationery items,education
Books purchase,education
Zomato dinner,food
Theatre tickets,entertainment
Credit card EMI,emi
Online course subscription,education
Books purchase,education
Ola cab,travel
Mall purchase,shopping
Gas bill payment,utilities
Spotify premium,entertainment
College fees payment,education
Flight ticket booking,travel
Gold purchase,investment
Online course subscription,education
Stock purchase,investment
Flight ticket booking,travel
Stationery items,education
Medical test charges,healthcare
Amazon purchase,shopping
Gold purchase,investment
Bowling alley,entertainment
Car loan EMI,emi
Toll tax payment,travel
Bowling alley,entertainment
Flipkart order,shopping
DTH recharge,utilities
Library fee,education
Fixed deposit investment,investment
Bowling alley,entertainment
Supermarket grocery,shopping
Mobile recharge,utilities
Gold purchase,investment
Mutual fund SIP,investment
Uber ride,travel
Bus ticket,travel
Stationery items,education
Metro card recharge,travel
Shoes shopping,shopping
Zomato dinner,food
Personal loan installment,emi
Education loan EMI,emi
Lunch at hotel,food
Electronics shopping,shopping
Swiggy order,food
School tuition fee,education
DTH recharge,utilities
Toll tax payment,travel
Dental clinic,healthcare
Crypto investment,investment
Dental clinic,healthcare
Fixed deposit investment,investment
Myntra shopping,shopping
Flight ticket booking,travel
Pizza delivery,food
Flight ticket booking,travel
Supermarket grocery,shopping
Bonds investment,investment
Car loan EMI,emi
Car loan EMI,emi
Lunch at hotel,food
Dental clinic,healthcare
Supermarket grocery,shopping
Car loan EMI,emi
Exam fee,education
Swiggy order,food
DTH recharge,utilities
Amazon purchase,shopping
Mutual fund SIP,investment
Mobile recharge,utilities
Personal loan installment,emi
Myntra shopping,shopping
School tuition fee,education
Metro card recharge,travel
Metro card recharge,travel
Amusement park entry,entertainment
Exam fee,education
Health insurance premium,healthcare
Online course subscription,education
Appliance loan EMI,emi
Ola cab,travel
Amazon purchase,shopping
Books purchase,education
Dental clinic,healthcare
Movie ticket booking,entertainment
Train ticket IRCTC,travel
Myntra shopping,shopping
Education loan EMI,emi
Education loan EMI,emi
Medical test charges,healthcare
Myntra shopping,shopping
Home loan EMI,emi
Game purchase,entertainment
Appliance loan EMI,emi
Game purchase,entertainment
Education loan EMI,emi
DTH recharge,utilities
Flight ticket booking,travel
PPF contribution,investment
Personal loan installment,emi
Bus ticket,travel
Fixed deposit investment,investment
School tuition fee,education
Car loan EMI,emi
Mobile recharge,utilities
Cafe coffee,food
Supermarket grocery,shopping
Netflix subscription,entertainment
Bowling alley,entertainment
Exam fee,education
Fixed deposit investment,investment
Dental clinic,healthcare
Bonds investment,investment
Exam fee,education
Stationery items,education
Stationery items,education
Electronics shopping,shopping
Clothing store bill,shopping
Spotify premium,entertainment
College fees payment,education
Pizza delivery,food
Pizza delivery,food
Stationery items,education
Exam fee,education
Medical test charges,healthcare
Pharmacy medicine purchase,healthcare
Water bill,utilities
Mutual fund SIP,investment
Game purchase,entertainment
Pizza delivery,food
Zomato dinner,food
Hotel booking,travel
Fixed deposit investment,investment
Stationery items,education
Concert ticket,entertainment
Movie ticket booking,entertainment
Appliance loan EMI,emi
Myntra shopping,shopping
Bonds investment,investment
Bus ticket,travel
Crypto investment,investment
Library fee,education
Bus ticket,travel
Flipkart order,shopping
Exam fee,education
Pharmacy medicine purchase,healthcare
School tuition fee,education
DTH recharge,utilities
Mall purchase,shopping
Spotify premium,entertainment
Toll tax payment,travel
College fees payment,education
Concert ticket,entertainment
Online course subscription,education
Swiggy order,food
Home loan EMI,emi
Online course subscription,education
School tuition fee,education
Dental clinic,healthcare
Pharmacy medicine purchase,healthcare
Mobile recharge,utilities
Netflix subscription,entertainment
Gold purchase,investment
Library fee,education
Water bill,utilities
Movie ticket booking,entertainment
Education loan EMI,emi
Books purchase,education
Theatre tickets,entertainment
Game purchase,entertainment
Stock purchase,investment
Car loan EMI,emi
Doctor consultation,healthcare
Mall purchase,shopping
Credit card EMI,emi
Electronics shopping,shopping
Hospital bill,healthcare
Education loan EMI,emi
Metro card recharge,travel
Shoes shopping,shopping
College fees payment,education
Health insurance premium,healthcare
Flight ticket booking,travel
Hospital bill,healthcare
Home loan EMI,emi
Dental clinic,healthcare
Hotel booking,travel
Netflix subscription,entertainment
Pharmacy medicine purchase,healthcare
Netflix subscription,entertainment
Bowling alley,entertainment
Education loan EMI,emi
Restaurant bill,food
Exam fee,education
School tuition fee,education
Car loan EMI,emi
Appliance loan EMI,emi
Broadband bill,utilities
Mutual fund SIP,investment
Netflix subscription,entertainment
Food court payment,food
Bus ticket,travel
Internet recharge,utilities
Pharmacy medicine purchase,healthcare
Doctor consultation,healthcare
Electronics shopping,shopping
Gold purchase,investment
Game purchase,entertainment
Shoes shopping,shopping
Food court payment,food
Dental clinic,healthcare
Internet recharge,utilities
Health insurance premium,healthcare
Hospital bill,healthcare
Credit card EMI,emi
Appliance loan EMI,emi
Theatre tickets,entertainment
Water bill,utilities
Gold purchase,investment
Online course subscription,education
Movie ticket booking,entertainment
Mall purchase,shopping
Credit card EMI,emi
Electricity bill payment,utilities
Theatre tickets,entertainment
College fees payment,education
Game purchase,entertainment
Myntra shopping,shopping
Stationery items,education
Pharmacy medicine purchase,healthcare
Metro card recharge,travel
Flipkart order,shopping
Flight ticket booking,travel
Exam fee,education
Lunch at hotel,food
Hospital bill,healthcare
Hotel booking,travel
Shoes shopping,shopping
Gas bill payment,utilities
Mutual fund SIP,investment
Education loan EMI,emi
Broadband bill,utilities
Mobile recharge,utilities
Food court payment,food
Bonds investment,investment
Shoes shopping,shopping
Crypto investment,investment
Online course subscription,education
Movie ticket booking,entertainment
Spotify premium,entertainment
Hospital bill,healthcare
Gas bill payment,utilities
Stock purchase,investment
Bowling alley,entertainment
Gold purchase,investment
Hotel booking,travel
Netflix subscription,entertainment
Home loan EMI,emi
Clothing store bill,shopping
Mall purchase,shopping
Health insurance premium,healthcare
Credit card EMI,emi
Mall purchase,shopping
Amusement park entry,entertainment
Zomato dinner,food
Library fee,education
Dental clinic,healthcare
Amazon purchase,shopping
Mutual fund SIP,investment
Metro card recharge,travel
Electronics shopping,shopping
Credit card EMI,emi
School tuition fee,education
Toll tax payment,travel
Personal loan installment,emi
Pharmacy medicine purchase,healthcare
Mutual fund SIP,investment
Hospital bill,healthcare
PPF contribution,investment
Metro card recharge,travel
Amazon purchase,shopping
Supermarket grocery,shopping
Flipkart order,shopping
Personal loan installment,emi
Bonds investment,investment
Bakery purchase,food
Hospital bill,healthcare
Shoes shopping,shopping
School tuition fee,education
Swiggy order,food
Credit card EMI,emi
Bonds investment,investment
Exam fee,education
Exam fee,education
Mobile recharge,utilities
Mutual fund SIP,investment
Cafe coffee,food
Game purchase,entertainment
Books purchase,education
Bike loan EMI,emi
Stock purchase,investment
School tuition fee,education
Ola cab,travel
College fees payment,education
Movie ticket booking,entertainment
Pizza delivery,food
Car loan EMI,emi
Medical test charges,healthcare
Clothing store bill,shopping
Credit card EMI,emi
DTH recharge,utilities
Medical test charges,healthcare
Supermarket grocery,shopping
Supermarket grocery,shopping
Lunch at hotel,food
Stock purchase,investment
Water bill,utilities
Stationery items,education
Car loan EMI,emi
Electronics shopping,shopping
Ola cab,travel
Netflix subscription,entertainment
Home loan EMI,emi
